"Job Offer Title";"Researcher Profile";"Company";"Fields";"Hours/Week";"Country";"City";"Where to Apply";"More Info"
"59502: Computer scientist (f/m/x) - Lead of the research group “Data access and processing”";"Leading Researcher (R4)";"Deutsches Zentrum für Luft - und Raumfahrt (DLR)";"Engineering ,Technology";"";"Germany";"Jena";"mailto:karriere@dlr.de";"https://euraxess.ec.europa.eu/jobs/681848"
"Research Scientist (f/m/d) - Computational Biology - OMICs data analysis";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Evotec AG";"Biological sciences ,Technology";"";"Germany";"Göttingen";"https://evotecgroup.wd3.myworkdayjobs.com/Evotec_Career_Site/job/Goettingen/Research-Scientist--m-f-d----Computational-Biology---Drug-Discovery_REQ-03311";"https://euraxess.ec.europa.eu/jobs/697032"
"Research Fellow, Grab-NUS AI Lab";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/267888/research-fellow-grab-nus-ai-lab/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/694299"
"Senior Research Scientist, Bioinformatician-Cancer Science Institute";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Biological sciences ,Engineering ,Mathematics ,Medical sciences";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269435/senior-research-scientist-bioinformatician-cancer-science-institute/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/699899"
"Senior Research Scientist, Bioinformatician Cancer Science Institute";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Biological sciences ,Engineering ,Mathematics ,Medical sciences";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/268730/senior-research-scientist-bioinformatician-cancer-science-institute/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/697406"
"Senior fisheries statistician/scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3)";"Game and Wildlife Conservation Trust";"Environmental science, Natural resources management";"37.5";"United Kingdom";"Wareham";"mailto:droberts@gwct.org.uk";"https://euraxess.ec.europa.eu/jobs/703346"
"Senior Scientist – Medicinal Chemistry";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Captor Therapeutics Inc.";"Chemistry ,Literature";"";"Poland";"Wroclaw";"mailto:recruitment@captortherapeutics.com";"https://euraxess.ec.europa.eu/jobs/699556"
"Post-Doctoral fellow in Data Science";"Recognised Researcher (R2) , Established Researcher (R3)";"ILL";"Chemistry";"";"France";"Grenoble";"https://www.abg.asso.fr/fr/candidatOffres/show/id_offre/100219";"https://euraxess.ec.europa.eu/jobs/688063"
"Research associate (f/m/d) Software Development";"Recognised Researcher (R2) , Established Researcher (R3)";"Karlsruher Institut für Technologie (KIT)";"All";"";"Germany";"Karlsruhe";"mailto:jobportal@careerservice.kit.edu";"https://euraxess.ec.europa.eu/jobs/699118"
"Postdoctoral Fellow - Computational Analysis of Microbiome Data";"First Stage Researcher (R1) , Established Researcher (R3) , Recognised Researcher (R2) , Leading Researcher (R4)";"European Molecular Biology Laboratory";"Biological sciences";"40";"Germany";"Heidelberg";"https://www.embl.org/jobs/position/HD02064";"https://euraxess.ec.europa.eu/jobs/697742"
"Research Fellow, Bioinformatics Specialist/Data Scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Biological sciences ,Engineering ,Medical sciences";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269031/research-fellow-bioinformatics-specialist-data-scientist/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/698603"
"Senior Scientist (Doctorate/PhD)";"Recognised Researcher (R2)";"University of Innsbruck";"Geosciences, Geology";"40 hours per week";"Austria";"Innsbruck";"https://lfuonline.uibk.ac.at/public/karriereportal.details?asg_id_in=12178&lang=1";"https://euraxess.ec.europa.eu/jobs/689499"
"Scientist (f/m/d)";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University Hospital Aachen (UKA), RWTH Aachen";"Biological sciences ,Medical sciences";"";"Germany";"Aachen";"mailto:pboor@ukaachen.de";"https://euraxess.ec.europa.eu/jobs/687694"
"Experiment Scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Marvel Fusion GmbH";"Philosophy ,Physics ,Technology";"";"Germany";"München";"mailto:career@marvelfusion.com";"https://euraxess.ec.europa.eu/jobs/687295"
"FTC Scientist";"Recognised Researcher (R2)";"CNRS";"Chemistry ,Engineering ,Physics";"35";"France";"MARSEILLE 13";"https://emploi.cnrs.fr/Candidat/Offre/UMR7343-FANALL-001/Candidater.aspx";"https://euraxess.ec.europa.eu/jobs/700566"
"Computational scientist for developing computational framework for analysis and diagnosis of...";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"CIC biomaGUNE";"Biological sciences";"40";"Spain";"Donostia - San Sebastián";"http://cicbiomagune.es/";"https://euraxess.ec.europa.eu/jobs/698743"
"Research Associate / Postdoc in the field of Ontologies for Materials Science";"Recognised Researcher (R2) , Established Researcher (R3)";"Jülich Research Centre";"Computer science, Other";"";"Germany";"52428 Jülich near Köln";"https://www.fz-juelich.de/SharedDocs/Stellenangebote/_common/dna/2021-388-EN-IAS-9.html";"https://euraxess.ec.europa.eu/jobs/696411"
"Research Associate, Computer Sciences";"Recognised Researcher (R2) , Established Researcher (R3)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/267765/research-associate-computer-sciences/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/693728"
"Post-Doctoral Fellowship in Geophysical Modeling M/F";"Recognised Researcher (R2)";"CNRS";"Astronomy ,Environmental science ,Geosciences";"35";"France";"STRASBOURG";"https://emploi.cnrs.fr/Candidat/Offre/UMR7063-GUYMAR-003/Candidater.aspx";"https://euraxess.ec.europa.eu/jobs/697442"
"Senior Scientist - Pharmacology & Cell Biology";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Captor Therapeutics Inc.";"Biological sciences";"";"Poland";"Wroclaw";"mailto:recruitment@captortherapeutics.com";"https://euraxess.ec.europa.eu/jobs/699557"
"Assistant (Asystent)";"Recognised Researcher (R2)";"Jagiellonian University";"Chemistry, Organic chemistry";"40";"Poland";"Krakow";"mailto:etat@chemia.uj.edu.pl";"https://euraxess.ec.europa.eu/jobs/695211"
"Research associate / Postdoc in the field Ontologies for Materialsscience";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Jülich Research Centre (FZJ)";"Computer science ,Engineering ,Information science ,Physics ,Technology";"";"Germany";"Aachen";"https://www.fz-juelich.de/SharedDocs/Stellenangebote/_common/dna/2021-388-EN-IAS-9.html?nn=722038";"https://euraxess.ec.europa.eu/jobs/693822"
"Research associate / Postdoc in the field Ontologies for Materialsscience";"Recognised Researcher (R2) , Established Researcher (R3)";"Forschungszentrum Jülich";"All";"";"Germany";"Aachen";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/693169"
"Research Assistant, Healthcare Artificial Intelligence and Data Analytics";"First Stage Researcher (R1) , Recognised Researcher (R2)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering ,Mathematics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269220/research-assistant-healthcare-artificial-intelligence-and-data-analytics/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/699082"
"59502: Computer scientist (f/m/x) - Lead of the research group “Data access and processing”";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"German Aerospace Center (DLR)";"Astronomy ,Computer science ,Literature ,Technology";"";"Germany";"Jena";"https://www.dlr.de/dlr/jobs/en/desktopdefault.aspx/tabid-10596/1003_read-46732/";"https://euraxess.ec.europa.eu/jobs/684071"
"Postdoctoral Fellow, Healthcare Artificial Intelligence and Data Analytics";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering ,Mathematics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/268818/postdoctoral-fellow-healthcare-artificial-intelligence-and-data-analytics/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/697572"
"Research Assistant, Healthcare Artificial Intelligence and Data Analytics";"First Stage Researcher (R1) , Recognised Researcher (R2)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering ,Ethics in health sciences ,Mathematics ,Neurosciences ,Sociology";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/268855/research-assistant-healthcare-artificial-intelligence-and-data-analytics/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/697606"
"Call for Postdocs in Computational Medicine (# of pos: 6)";"Recognised Researcher (R2) , Established Researcher (R3)";"Sano Centre for Computational Personalized Medicine";"Computer science";"40";"Poland";"Kraków";"https://sano.elevato.net/en/call-for-postdocs-in-computational-medicine,ja,84";"https://euraxess.ec.europa.eu/jobs/697932"
"Microbiological standards officer and project coordinator";"First Stage Researcher (R1) , Established Researcher (R3) , Recognised Researcher (R2) , Leading Researcher (R4)";"European Molecular Biology Laboratory";"Biological sciences";"40";"Germany";"Heidelberg";"https://www.embl.org/jobs/position/HD02062";"https://euraxess.ec.europa.eu/jobs/697743"
"Research Scientist (“Asystent”)";"First Stage Researcher (R1)";"Mossakowski Medical Research Institute, Polish Academy of Sciences";"Biological sciences, Medical sciences, Other";"40";"Poland";"Warsaw";"https://www.imdik.pan.pl/pl/praca";"https://euraxess.ec.europa.eu/jobs/699820"
"Computational Scientist/Chemist or Physicist";"Recognised Researcher (R2)";"Empa";"Chemistry, Computational chemistry ,Chemistry, Physics, Computational physics";"38";"Switzerland";"Dübendorf";"https://academicpositions.com/ad/empa/2021/computational-scientist-chemist-or-physicist/164628";"https://euraxess.ec.europa.eu/jobs/696228"
"Contest Point 5 - Senior Scientist";"Established Researcher (R3)";"RUĐER BOŠKOVIĆ INSTITUTE";"Biological sciences ,Environmental science";"40";"Croatia";"Zagreb";"mailto:smital@irb.hr";"https://euraxess.ec.europa.eu/jobs/701664"
"Contest point 4 - Senior Scientist";"Established Researcher (R3)";"RUĐER BOŠKOVIĆ INSTITUTE";"Environmental science";"40";"Croatia";"Zagreb";"mailto:mlakar@irb.hr";"https://euraxess.ec.europa.eu/jobs/701657"
"Contest point 1 – Tenured Senior Scientist";"Leading Researcher (R4)";"RUĐER BOŠKOVIĆ INSTITUTE";"Environmental science";"40";"Croatia";"Rovinj";"mailto:nina.rovis@irb.hr";"https://euraxess.ec.europa.eu/jobs/700770"
"Industrial Service Scientist MX (index no. 6121-00)";"Established Researcher (R3)";"Paul Scherrer Institut Villigen";"Physics, Biophysics";"41.5";"Switzerland";"Villigen PSI";"https://www.psi.ch/en/pa/job-opportunities/48120-industrial-service-scientist-mx";"https://euraxess.ec.europa.eu/jobs/696759"
"Ecohydrological modeler in urban systems (m/f/d)";"First Stage Researcher (R1) , Recognised Researcher (R2)";"Leibniz Institute of Freshwater Ecology and Inland Fisheries (IGB)";"Environmental science, Other";"39";"Germany";"Berlin";"https://karriere-igb.softgarden.io/job/13461382/Ecohydrological-modeler-in-urban-systems-m-f-d-?jobDbPVId=35368152&l=de";"https://euraxess.ec.europa.eu/jobs/703990"
"Post-Doctoral Researcher Computational Physiology";"Recognised Researcher (R2)";"Wageningen University & Research";"Cultural studies";"38.0";"Netherlands";"Wageningen";"https://www.academictransfer.com/305696/post-doctoral-researcher-computational-physiology/apply/#apply";"https://euraxess.ec.europa.eu/jobs/700612"
"Head of IT and Data Management for Population Health Sciences (f/m/d) 1921/2021/4";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"German Center for Neurodegenerative Diseases within the Helmholtz Association (DZNE)";"Computer science ,Mathematics ,Medical sciences ,Political sciences";"";"Germany";"Bonn";"https://jobs.dzne.de/en/p/helmholz/jobs/70716/head-of-it-and-data-management-for-population-health-sciences-fmd-192120214";"https://euraxess.ec.europa.eu/jobs/624211"
"Software / Data Engineer";"Recognised Researcher (R2)";"The Netherlands Cancer Institute";"Physics ,Technology";"36.0";"Netherlands";"Amsterdam";"https://www.academictransfer.com/305028/software-data-engineer/apply/#apply";"https://euraxess.ec.europa.eu/jobs/693782"
"Data Scientist in Chemical Proteomics (m/f/d)";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Research Center for Molecular Medicine (CeMM), ÖAW";"Biological sciences ,Computer science ,Mathematics ,Medical sciences";"";"Austria";"Vienna";"https://cemm.jobbase.io/job/g69atjeu";"https://euraxess.ec.europa.eu/jobs/689545"
"Postdoctoral Fellow - Computational Analysis of Microbiome Data";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"European Molecular Biology Laboratory (EMBL)";"Biological sciences ,Chemistry ,Computer science ,Medical sciences ,Physics ,Technology";"";"Germany";"Heidelberg";"https://emea3.recruitmentplatform.com/apply-app/pages/application-form?jobId=QHPFK026203F3VBQB688N79SB-4642&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/695006"
"PhD Position - Framework for Meta Data Analysis and Interactive Exploration of large Plant FAIR...";"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/660264"
"Laser Scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Marvel Fusion GmbH";"Engineering ,Philosophy ,Physics ,Technology";"";"Germany";"Munich";"mailto:career@marvelfusion.com";"https://euraxess.ec.europa.eu/jobs/687289"
"Research Fellow, Human Capital and Learning Technology Scientis";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering ,Mathematics";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269174/research-fellow-human-capital-and-learning-technology-scientis/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/699055"
"Scientist/Engineer (IV-99)";"First Stage Researcher (R1) , Recognised Researcher (R2)";"Fyzikální ústav AV ČR";"Physics, Optics";"40";"Czech Republic";"Dolní Břežany";"mailto:jana.zeniskova@gmail.com";"https://euraxess.ec.europa.eu/jobs/691100"
"Post-doctoral position";"First Stage Researcher (R1) , Recognised Researcher (R2)";"Sorbonne Université";"Biological sciences, Biological engineering";"37";"France";"Paris";"mailto:iscd@sorbonne-universite.fr";"https://euraxess.ec.europa.eu/jobs/690997"
"Research associate (f/m/d) Software Development";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Karlsruhe Institute of Technology (KIT)";"Chemistry ,Information science ,Technology";"";"Germany";"Karlsruhe";"https://kit-stellenangebote.dvinci-easy.com/en/jobs/106568/research-associate-fmd-software-development";"https://euraxess.ec.europa.eu/jobs/699562"
"Assistant Professor in Business Analytics (Tenure Track with Focus on Education)";"Established Researcher (R3) , Leading Researcher (R4)";"Delft University of Technology (TU Delft)";"Technology";"40.0";"Netherlands";"Delft";"https://www.academictransfer.com/305282/assistant-professor-in-business-analytics-tenure-track-with-focus-on-education/apply/#apply";"https://euraxess.ec.europa.eu/jobs/696451"
"A geological analogue for the future: the rapid climatic warming 56 million years ago (...";"First Stage Researcher (R1)";"University of East Anglia";"Chemistry ,Environmental science";"";"United Kingdom";"Norwich";"https://www.uea.ac.uk/apply/postgraduate/research";"https://euraxess.ec.europa.eu/jobs/698775"
"Postdoc in biochemical data wrangling and curation";"Recognised Researcher (R2)";"Aix-Marseille Université";"Biological sciences, Chemistry, Other";"38";"France";"Marseille";"https://academicpositions.com/ad/aix-marseille-universite/2021/postdoc-in-biochemical-data-wrangling-and-curation/164860";"https://euraxess.ec.europa.eu/jobs/698425"
"IPE 03-21 Master Thesis or Internship Data-Intensive cloud infrastructure for future control systems";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Karlsruhe Institute of Technology (KIT)";"Technology";"";"Germany";"Karlsruhe";"https://kit-stellenangebote.dvinci-easy.com/en/jobs/75501/ipe-03-21-master-thesis-or-internship-data-intensive-cloud-infrastructure-for-future-control-systems";"https://euraxess.ec.europa.eu/jobs/603917"
"PhD Positions on Computer Vision and Deep Learning for Architectural Design (# of pos: 2)";"First Stage Researcher (R1)";"Delft University of Technology (TU Delft)";"Technology";"40.0";"Netherlands";"Delft";"https://www.academictransfer.com/304120/phd-positions-on-computer-vision-and-deep-learning-for-architectural-design/apply/#apply";"https://euraxess.ec.europa.eu/jobs/680945"
"PhD Position - High Dimensional Multi Omics Data Integration";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Jülich Research Centre (FZJ)";"Computer science ,Engineering ,Environmental science ,Medical sciences ,Technology";"";"Germany";"Jülich";"https://www.fz-juelich.de/SharedDocs/Stellenangebote/_common/dna/2021D-129-EN-IBG-4.html?nn=722038";"https://euraxess.ec.europa.eu/jobs/690598"
"PhD Position - High Dimensional Multi Omics Data Integration";"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/690016"
"Genomics Data Engineer";"Recognised Researcher (R2) , Established Researcher (R3)";"Centre For Genomic Regulation";"Biological sciences";"40";"Spain";"Barcelona";"https://recruitment.crg.eu/content/jobs/position/genomics-data-engineer";"https://euraxess.ec.europa.eu/jobs/698433"
"Senior Genomics Data Engineer";"Recognised Researcher (R2) , Established Researcher (R3)";"Centre For Genomic Regulation";"Biological sciences";"40";"Spain";"Barcelona";"https://recruitment.crg.eu/content/jobs/position/senior-genomics-data-engineer";"https://euraxess.ec.europa.eu/jobs/698444"
"Project Research Scientist (Bioinformatician)";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Francis Crick Institute";"Biological sciences ,Computer science";"";"United Kingdom";"London";"https://crick.wd3.myworkdayjobs.com/External/job/London/Project-Research-Scientist_R464-1";"https://euraxess.ec.europa.eu/jobs/697488"
"Research Scientist (f/m/d) - Bioinformatics";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Evotec AG";"Biological sciences ,Chemistry ,Computer science ,Technology";"";"Germany";"Munich";"https://evotecgroup.wd3.myworkdayjobs.com/Evotec_Career_Site/job/Munich/Research-Scientist--f-m-d----Bioinformatics_REQ-04025";"https://euraxess.ec.europa.eu/jobs/684052"
"Research Scientist (f/m/d) - Bioinformatics";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Evotec AG";"Biological sciences ,Chemistry ,Computer science ,Technology";"";"Germany";"Munich";"https://evotecgroup.wd3.myworkdayjobs.com/Evotec_Career_Site/job/Munich/Research-Scientist--f-m-d----Bioinformatics_REQ-03660";"https://euraxess.ec.europa.eu/jobs/684683"
"Contest point 3 – Senior Scientist";"Leading Researcher (R4)";"Rudjer Boskovic Institute";"Physics";"40";"Croatia";"Zagreb";"mailto:kmartin@irb.hr";"https://euraxess.ec.europa.eu/jobs/701695"
"Special Scientist, for Research";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"UNIVERSITY OF CYPRUS";"Engineering";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/269652/special-scientist-for-research/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/700903"
"Scientist European Biodiversity Monitoring";"First Stage Researcher (R1)";"University of Amsterdam (UvA)";"Physics";"38.0";"Netherlands";"Amsterdam";"https://www.academictransfer.com/305385/scientist-european-biodiversity-monitoring/apply/#apply";"https://euraxess.ec.europa.eu/jobs/697454"
"ACADEMY SCIENTIST (F*M)";"Recognised Researcher (R2) , Established Researcher (R3)";"Austrian Academy of Sciences, The Space Research Institute (IWF)";"Astronomy, Astrophysics ,Physics";"40";"Austria";"Graz";"mailto:rumi.nakamura@oeaw.ac.at";"https://euraxess.ec.europa.eu/jobs/682514"
"Analytical chemist, environmental scientist";"First Stage Researcher (R1)";"Empa";"Chemistry, Analytical chemistry ,Chemistry, Chemistry, Other";"38";"Switzerland";"Dübendorf";"https://academicpositions.com/ad/empa/2021/analytical-chemist-environmental-scientist/164627";"https://euraxess.ec.europa.eu/jobs/696227"
"PhD Position in Continual Reinforcement Learning";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"University of Southern Denmark (SDU)";"Computer science ,Mathematics ,Physics";"";"Denmark";"Odense M";"https://www.sdu.dk/da/service/ledige_stillinger/1173438";"https://euraxess.ec.europa.eu/jobs/696486"
